Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX
0,0,0,1,0,1,1,2,2
1,1,0,1,0,1,2,8,8
2,2,0,1,0,1,3,0,0
3,3,0,1,0,1,4,a,a
4,4,0,1,0,1,5,0,0
5,5,0,1,0,1,6,8,8
6,6,0,1,0,1,7,0,0
7,7,0,1,0,1,8,8,8
8,8,0,1,0,1,9,2,2
9,9,0,1,0,1,10,a,a
10,10,0,1,0,1,11,3,3
11,11,0,1,0,1,12,2,2
12,12,0,1,0,1,13,0,0
13,13,0,1,0,1,14,a,a
14,14,0,1,0,1,15,0,0
15,15,0,1,0,1,16,8,8
16,16,0,1,0,1,17,8,8
17,17,0,1,0,1,18,8,8
18,18,0,1,0,1,19,0,0
19,19,0,1,0,1,20,2,2
20,20,0,1,0,1,21,9,9
21,21,0,1,0,1,22,8,8
22,22,0,1,0,1,23,8,8
23,23,0,1,0,1,24,8,8
24,24,0,1,0,1,25,8,8
25,25,0,1,0,1,26,9,9
26,26,0,1,0,1,27,3,3
27,27,0,1,0,1,28,0,0
28,28,0,1,0,1,29,2,2
29,29,0,1,0,1,30,8,8
30,30,0,1,0,1,31,3,3
31,31,0,1,0,1,32,a,a
32,32,0,1,0,1,33,2,2
33,33,0,1,0,1,34,8,8
34,34,0,1,0,1,35,8,8
35,35,0,1,0,1,36,3,3
36,36,0,1,0,1,37,8,8
37,37,0,1,0,1,38,9,9
38,38,0,1,0,1,39,8,8
39,39,0,1,0,1,40,0,0
40,40,0,1,0,1,41,2,2
41,41,0,1,0,1,42,8,8
42,42,0,1,0,1,43,0,0
43,43,0,1,0,1,44,2,2
44,44,0,1,0,1,45,8,8
45,45,0,1,0,1,46,8,8
46,46,0,1,0,1,47,8,8
47,47,0,1,0,1,48,8,8
48,48,0,1,0,1,49,8,8
49,49,0,1,0,1,50,0,0
50,50,0,1,0,1,51,0,0
51,51,0,1,0,1,52,8,8
52,52,0,1,0,1,53,8,8
53,53,0,1,0,1,54,8,8
54,54,0,1,0,1,55,8,8
55,55,0,1,0,1,56,0,0
56,56,0,1,0,1,57,9,9
57,57,0,1,0,1,58,a,a
58,58,0,1,0,1,59,0,0
59,59,0,1,0,1,60,3,3
60,60,0,1,0,1,61,8,8
61,61,0,1,0,1,62,2,2
62,62,0,1,0,1,63,a,a
63,63,0,1,0,1,64,0,0
64,64,0,1,0,1,65,8,8
65,65,0,1,0,1,66,8,8
66,66,0,1,0,1,67,8,8
67,67,0,1,0,1,68,0,0
68,68,0,1,0,1,69,8,8
69,69,0,1,0,1,70,2,2
70,70,0,1,0,1,71,8,8
71,71,0,1,0,1,72,8,8
72,72,0,1,0,1,73,0,0
73,73,0,1,0,1,74,0,0
74,74,0,1,0,1,75,0,0
75,75,0,1,0,1,76,2,2
76,76,0,1,0,1,77,0,0
77,77,0,1,0,1,78,a,a
78,78,0,1,0,1,79,a,a
79,79,0,1,0,1,80,0,0
80,80,0,1,0,1,81,8,8
81,81,0,1,0,1,82,0,0
82,82,0,1,0,1,83,8,8
83,83,0,1,0,1,84,3,3
84,84,0,1,0,1,85,8,8
85,85,0,1,0,1,86,2,2
86,86,0,1,0,1,87,8,8
87,87,0,1,0,1,88,2,2
88,88,0,1,0,1,89,2,2
89,89,0,1,0,1,90,9,9
90,90,0,1,0,1,91,2,2
91,91,0,1,0,1,92,3,3
92,92,0,1,0,1,93,8,8
93,93,0,1,0,1,94,a,a
94,94,0,1,0,1,95,8,8
95,95,0,1,0,1,96,3,3
96,96,0,1,0,1,97,8,8
97,97,0,1,0,1,98,2,2
98,98,0,1,0,1,99,0,0
99,99,0,1,0,1,100,9,9
100,100,0,1,0,1,101,8,8
101,101,0,1,0,1,102,2,2
102,102,0,1,0,1,103,3,3
103,103,0,1,0,1,104,8,8
104,104,0,1,0,1,105,8,8
105,105,0,1,0,1,106,0,0
106,106,0,1,0,1,107,0,0
107,107,0,1,0,1,108,2,2
108,108,0,1,0,1,109,0,0
109,109,0,1,0,1,110,3,3
110,110,0,1,0,1,111,a,a
111,111,0,1,0,1,112,8,8
112,112,0,1,0,1,113,a,a
113,113,0,1,0,1,114,2,2
114,114,0,1,0,1,115,a,a
115,115,0,1,0,1,116,0,0
116,116,0,1,0,1,117,0,0
117,117,0,1,0,1,118,8,8
118,118,0,1,0,1,119,2,2
119,119,0,1,0,1,120,0,0
120,120,0,1,0,1,121,0,0
121,121,0,1,0,1,122,0,0
122,122,0,1,0,1,123,8,8
123,123,0,1,0,1,124,9,9
124,124,0,1,0,1,125,8,8
125,125,0,1,0,1,126,8,8
126,126,0,1,0,1,127,0,0
127,127,0,1,0,1,0,0,0
128,128,0,1,0,1,1,2,2
129,129,0,1,0,1,2,8,8
130,130,0,1,0,1,3,0,0
131,131,0,1,0,1,4,a,a
132,132,0,1,0,1,5,0,0
133,133,0,1,0,1,6,8,8
134,134,0,1,0,1,7,0,0
135,135,0,1,0,1,8,8,8
136,136,0,1,0,1,9,2,2
137,137,0,1,0,1,10,a,a
138,138,0,1,0,1,11,3,3
139,139,0,1,0,1,12,2,2
140,140,0,1,0,1,13,0,0
